job_name,id,input_table_source,input_table,input_column,input_column_data_type,input_add_schema,output_table_destination,output_table,output_column,output_column_data_type,output_add_schema,transformation
sitio,1,athena,dtpm_gsit_raw_dev.sitio,idsitio,string,False,athena,dtpm_gsit_staging_dev.sitio,id_sitio,bigint,False,False
sitio,2,athena,dtpm_gsit_raw_dev.sitio,codigositio,string,False,athena,dtpm_gsit_staging_dev.sitio,codigo_sitio,bigint,False,False
sitio,3,athena,dtpm_gsit_raw_dev.sitio,descripcion,string,False,athena,dtpm_gsit_staging_dev.sitio,descripcion,string,False,False
sitio,4,athena,dtpm_gsit_raw_dev.sitio,nombre,string,False,athena,dtpm_gsit_staging_dev.sitio,nombre,string,False,False
sitio,5,athena,dtpm_gsit_raw_dev.sitio,codigotipositio,string,False,athena,dtpm_gsit_staging_dev.sitio,codigo_tipo_sitio,bigint,False,False
sitio,6,athena,dtpm_gsit_raw_dev.sitio,idlinea,string,False,athena,dtpm_gsit_staging_dev.sitio,id_linea,bigint,False,False
sitio,7,athena,dtpm_gsit_raw_dev.sitio,codigoentidad,string,False,athena,dtpm_gsit_staging_dev.sitio,codigo_entidad,bigint,False,False
sitio,8,athena,dtpm_gsit_raw_dev.sitio,fechabaja,string,False,athena,dtpm_gsit_staging_dev.sitio,fecha_baja,timestamp,False,False
sitio,9,athena,dtpm_gsit_raw_dev.sitio,fechaalta,string,False,athena,dtpm_gsit_staging_dev.sitio,fecha_alta,timestamp,False,False
sitio,10,athena,dtpm_gsit_raw_dev.sitio,vei_id,string,False,athena,dtpm_gsit_staging_dev.sitio,vei_id,bigint,False,False
sitio,11,athena,dtpm_gsit_raw_dev.sitio,fechavigencia,string,False,athena,dtpm_gsit_staging_dev.sitio,fecha_vigencia,timestamp,False,False
sitio,12,athena,dtpm_gsit_raw_dev.sitio,year,int,False,athena,dtpm_gsit_staging_dev.sitio,year,int,False,False
sitio,13,athena,dtpm_gsit_raw_dev.sitio,month,int,False,athena,dtpm_gsit_staging_dev.sitio,month,int,False,False
sitio,14,athena,dtpm_gsit_raw_dev.sitio,day,int,False,athena,dtpm_gsit_staging_dev.sitio,day,int,False,False
tipo_trx_1,15,athena,dtpm_gsit_raw_dev.tipotrx,codigotipotrx,string,False,athena,dtpm_gsit_staging_dev.tipo_trx,codigotipotrx,bigint,False,False
tipo_trx_1,16,athena,dtpm_gsit_raw_dev.tipotrx,descripcion,string,False,athena,dtpm_gsit_staging_dev.tipo_trx,descripcion,string,False,False
tipo_trx_1,17,athena,dtpm_gsit_raw_dev.tipotrx,empaquetable,string,False,athena,dtpm_gsit_staging_dev.tipo_trx,empaquetable,boolean,False,False
tipo_trx_1,18,athena,dtpm_gsit_raw_dev.tipotrx,fechaempaquetablevigencia,string,False,athena,dtpm_gsit_staging_dev.tipo_trx,fechaempaquetablevigencia,timestamp,False,False
tipo_trx_2,19,athena,dtpm_gsit_staging_dev.tipo_trx,codigotipotrx,bigint,False,athena,dtpm_gsit_analytics_dev.tipo_trx,codigotipotrx,bigint,False,False
tipo_trx_2,20,athena,dtpm_gsit_staging_dev.tipo_trx,descripcion,string,False,athena,dtpm_gsit_analytics_dev.tipo_trx,descripcion,string,False,False
tipo_trx_2,21,athena,dtpm_gsit_staging_dev.tipo_trx,empaquetable,boolean,False,athena,dtpm_gsit_analytics_dev.tipo_trx,empaquetable,boolean,False,False
tipo_trx_2,22,athena,dtpm_gsit_staging_dev.tipo_trx,fechaempaquetablevigencia,timestamp,False,athena,dtpm_gsit_analytics_dev.tipo_trx,fechaempaquetablevigencia,timestamp,False,False
tipo_trx_2,23,athena,dtpm_gsit_staging_dev.tipo_trx,load_id,string,False,athena,dtpm_gsit_analytics_dev.tipo_trx,load_id,string,False,False
tipo_trx_2,24,athena,dtpm_gsit_staging_dev.tipo_trx,load_time,timestamp,False,athena,dtpm_gsit_analytics_dev.tipo_trx,load_time,timestamp,False,False
tipo_trx_2,25,athena,dtpm_gsit_staging_dev.tipo_trx,last_modif_time,timestamp,False,athena,dtpm_gsit_analytics_dev.tipo_trx,last_modif_time,timestamp,False,False
tipo_trx_2,26,athena,dtpm_gsit_staging_dev.tipo_trx,modif_user,string,False,athena,dtpm_gsit_analytics_dev.tipo_trx,modif_user,string,False,False
